name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Palace Theatre,29 Greek St,,,E09000033,City of Westminster,10033553103.0,E05000649,West End,,-0.12962760222082895,51.513086569162425,529883.9646858313,181008.92362703747,12/29/2019,dance,"113 Shaftesbury Ave, Soho, London W1D 5AY, United Kingdom",Palace Theatre,ChIJYxVJmtIEdkgRSFNK6hLhPvQ,4.6,"['point_of_interest', 'establishment']",5208.0
Eventim Apollo Hammersmith,45 Queen Caroline Street,,,E09000013,Hammersmith and Fulham,34030384.0,E05000256,Hammersmith Broadway,,-0.22442261589391588,51.49069333864847,523366.96645849367,178354.9243480144,12/29/2019,dance,"45 Queen Caroline St, Hammersmith, London W6 9QH, United Kingdom",Eventim Apollo,ChIJc1Z5dbcPdkgRlKJ-iPJzK_Q,4.4,"['point_of_interest', 'establishment']",6432.0
Hampstead Theatre,62 Eton Avenue,,,E09000007,Camden,5134828.0,E05000144,Swiss Cottage,www.hampsteadtheatre.com,-0.1737092618893542,51.54382561714253,526739.9655404622,184349.9227201218,12/29/2019,dance,"Eton Ave, London NW3 3EU, United Kingdom",Hampstead Theatre,ChIJ8fP3-ZAadkgRgH8Zcwn3_1k,4.6,"['point_of_interest', 'establishment']",598.0
ICA,Nash House,,The Mall,E09000033,City of Westminster,100023349637.0,E05000644,St. James's,www.ica.art/venue-hire/,-0.13089630811381464,51.50638922513244,529814.9647049451,180261.92383102266,12/29/2019,dance,"The Mall, St. James's, London SW1Y 5AH, United Kingdom",Institute of Contemporary Arts,ChIJpwrHSNAEdkgR1YO1RjflYXw,4.4,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",911.0
Islington Assembly Hall,?222 Upper Street,,,E09000019,Islington,5300094897.0,E05000379,St. Mary's,,-0.10361212675213433,51.544332193452284,531598.9642189554,184529.92267082972,12/29/2019,dance,"Upper St, Islington, London N1 2UD, United Kingdom",Islington Assembly Hall,ChIJkyJ6AmcbdkgRtLSUMJgQ-3w,4.5,"['point_of_interest', 'establishment']",1445.0
London Palladium,8 Argyll Street,,,E09000033,City of Westminster,10033529083.0,E05000649,West End,http://www.reallyusefultheatres.co.uk/our-theatres/london-palladium/,-0.1400173237240133,51.514537732802665,529158.9648823262,181151.92358939466,12/29/2019,dance,"8 Argyll St, Soho, London W1F 7TF, United Kingdom",The London Palladium,ChIJY-9VVNUEdkgRiQBELktMFvw,4.6,"['point_of_interest', 'store', 'establishment']",5182.0
Lost Theatre,208 Wandsworth Road,,,E09000022,Lambeth,10023851231.0,E05000429,Stockwell,http://www.losttheatre.co.uk,-0.13182128200627993,51.47552392712488,529838.3646959291,176828.0247644474,12/29/2019,dance,"208 Wandsworth Rd, Nine Elms, London SW8 2JU, United Kingdom",Stockwell Playhouse,ChIJVfGsVPgEdkgROMfaS-eCagk,4.2,"['point_of_interest', 'establishment']",173.0
Lyceum Theatre,21 Wellington Street,,,E09000033,City of Westminster,10033572107.0,E05000644,St. James's,http://www.lyceum-theatre.co.uk,-0.12011195511506464,51.511423675332864,530548.9645047472,180840.9236710369,12/29/2019,dance,"21 Wellington St, Covent Garden, London WC2E 7RQ, United Kingdom",Lyceum Theatre,ChIJcXx0Uoms2EcR8Be43HHdy2U,4.7,"['point_of_interest', 'establishment']",9567.0
Millfield Arts Centre,303 Silver St,,,E09000010,Enfield,207015826.0,E05000201,Haselbury,https://www.millfieldtheatre.co.uk,-0.08021922443457953,51.61595446609569,533011.9638343168,192536.92049252838,12/29/2019,dance,"Silver St, Edmonton, London N18 1PJ, United Kingdom",Millfield Theatre,ChIJfRPKvrkedkgR3neR5aTFVNs,4.4,"['point_of_interest', 'establishment']",359.0
New Diorama Theatre,15-16 Triton Street,,,E09000007,Camden,5155688.0,E05000142,Regent's Park,,-0.1417518727550851,51.52503273106567,529008.9649241904,182315.92327300055,12/29/2019,dance,"15-16 Triton St, London NW1 3BF, United Kingdom",New Diorama Theatre,ChIJsU2S8tcadkgR_jmfFgACHxA,4.6,"['point_of_interest', 'establishment']",134.0
