name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Tristan Bates Theatre,1A Tower St, London,,E09000033,City of Westminster,5077305.0,E05000649,West End,https://www.tristanbatestheatre.co.uk/,-0.12968409296420888,51.513796209141795,529878.0272873291,181087.73610559435,12/29/2019,theatres,"1A Tower St, London WC2H 9NP, United Kingdom",Tristan Bates Theatre,ChIJi1xyac0EdkgRYEHuw-V1J0M,4.2,"['point_of_interest', 'establishment']",97.0
Lion and Unicorn Theatre,42-44 Gaisford St, Kentish Town,,E09000007,Camden,5082943.0,E05000139,Kentish Town,http://www.lionandunicorntheatre.co.uk/,-0.14142272432030928,51.54861882368309,528965.138336815,184939.3059600901,12/29/2019,theatres,"42-44 Gaisford St, Kentish Town, London NW5 2ED, United Kingdom",The Lion And Unicorn,ChIJw4ck5gIbdkgRmokLYvcDorI,4.4,"['park', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",607.0
Dominion Theatre,268-269 Tottenham Court Rd, Fitzrovia,,E09000007,Camden,5083050.0,E05000129,Bloomsbury,https://www.nederlander.co.uk/dominion-theatre,-0.13124801330240046,51.5174718389579,529759.0728190055,181493.6981953667,12/29/2019,theatres,"268-269 Tottenham Court Rd, Fitzrovia, London W1T 7AQ, United Kingdom",Dominion Theatre,ChIJJ7VUaS0bdkgRRxOOSvN_HaE,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",3858.0
Shaw Theatre,100-110 Euston Rd, Kings Cross,,E09000007,Camden,5083194.0,E05000143,St. Pancras and Somers Town,https://www.shaw-theatre.com/,-0.12971742775567804,51.529154804736976,529832.0423028546,182795.5668428407,12/29/2019,theatres,"100-110 Euston Rd, Kings Cross, London NW1 2AJ, United Kingdom",Shaw Theatre,ChIJdd9mIzsbdkgRJqtjYQJ4h84,4.3,"['point_of_interest', 'establishment']",294.0
Embassy Theatre,The Royal Central School of Speech and Drama, 62-64 Eton Ave,,E09000007,Camden,5084778.0,E05000133,Frognal and Fitzjohns,https://www.cssd.ac.uk/content/facilities,-0.1757821912485239,51.54483350251209,526593.4342802466,184458.41599044687,12/29/2019,theatres,"62-64 Eton Ave, Belsize Park, London NW3 3HY, United Kingdom",The Royal Central School of Speech and Drama,ChIJwxhwUJAadkgRwzJ0VK9J4w4,4.3,"['university', 'point_of_interest', 'establishment']",36.0
Cambridge Theatre,Earlham Street,,,E09000007,Camden,5089373.0,E05000138,Holborn and Covent Garden,http://www.reallyusefultheatres.co.uk/our-theatres/cambridge,-0.12798826395696675,51.51402121910828,529995.0510555393,181115.76549770986,12/29/2019,theatres,"Earlham St, London WC2H 9HU, United Kingdom",Cambridge Theatre,ChIJ059kIs0EdkgRAbuyqaAavxU,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",2758.0
Haverstock School Theatre ,Haverstock School, 24 Haverstock Hill,,E09000007,Camden,5090679.0,E05000136,Haverstock,,-0.15502351905747053,51.54480978684451,528032.8580912722,184491.86948102235,12/29/2019,theatres,"24 Haverstock Hill, Chalk Farm, London NW3 2BQ, United Kingdom",Haverstock School,ChIJC6X5le8adkgRWriPESg5n-8,2.7,"['school', 'point_of_interest', 'establishment']",18.0
St Martin's Theatre,West St,,,E09000033,City of Westminster,5090739.0,E05000649,West End,https://www.the-mousetrap.co.uk/,-0.12921562921709398,51.51335015913303,529911.7999782263,181038.9656187948,12/29/2019,theatres,"West St, London WC2H 9NZ, United Kingdom",St. Martin's Theatre,ChIJ2dkqXs0EdkgRlVUsXtEbwsQ,4.6,"['point_of_interest', 'establishment']",1292.0
Roundhouse,Chalk Farm Rd, Camden Town,,E09000007,Camden,5109516.0,E05000130,Camden Town with Primrose Hill,http://www.roundhouse.org.uk/,-0.1528914400038746,51.54354905371327,528184.2325501989,184355.4037175175,12/29/2019,theatres,"Chalk Farm Rd, Camden Town, London NW1 8EH, United Kingdom",Roundhouse,ChIJPcr-g-UadkgRHjOPc3ITZdo,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",4954.0
Ambassadors Theatre,West St,,,E09000033,City of Westminster,5110511.0,E05000649,West End,https://www.theambassadorstheatre.co.uk/Online/,-0.1295693977545588,51.51350873810073,529886.8027849926,181055.97241422394,12/29/2019,theatres,"West St, London WC2H 9ND, United Kingdom",The Ambassadors Theatre,ChIJV4wAbs0EdkgRqikwCrBGCWU,4.4,"['point_of_interest', 'establishment']",744.0
