name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Big Chill Bar,Tower Hamlets ,,,E09000030,Tower Hamlets,6151992.0,E05009333,Spitalfields & Banglatown,www.wearebigchill.com,-0.07219651102141711,51.5208884025304,533845.9637319765,181979.9234867355,12/29/2019,music,"Dray Walk, Brick Ln, Spitalfields, London E1 6QL, United Kingdom",Big Chill Brick Lane,ChIJcwCeFbYcdkgRDgi6Mm-BVH4,3.9,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",743.0
Total Refreshment Centre,2A Foulden Road,,,,,,,,www.totalrefreshment.net,-0.07383960108837623,51.555783620913246,533629.8136675081,185857.36230870135,12/29/2019,music,"2, 2 Foulden Rd, Hackney Downs, London N16 7UR, United Kingdom",Total Refreshment Centre,ChIJz3qM64ocdkgRgL8qd2oyjsQ,4.6,"['point_of_interest', 'establishment']",106.0
The White Hart,184 New Cross Road,Lewisham,,E09000023,Lewisham,100000000000.0,E05000453,Telegraph Hill,,-0.046707401612781,51.47449528776908,535751.9632140604,176867.92487308604,12/29/2019,music,"184 New Cross Rd, London SE14 5AA, United Kingdom",The White Hart Hotel,ChIJI3rjJwADdkgR1ghnCh7q8HM,4.2,"['lodging', 'bar', 'point_of_interest', 'establishment']",109.0
The Camden Assembly Pub,49 Chalk Farm Road,Camden,,E09000007,Camden,5020249.0,E05000136,Haverstock,www.camdenassembly.com,-0.1492784558085157,51.543119103378885,528435.9652038788,184313.9228504221,12/29/2019,music,"49 Chalk Farm Rd, Chalk Farm, London NW1 8AN, United Kingdom",The Camden Assembly Pub,ChIJKQXsT-QadkgRa8oSK8y0QhU,4.2,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1260.0
Peckham Levels,Peckham Levels 95a Rye Lane,London Se15 4st,,E09000028,Southwark,0.0,E05011113,Rye Lane,www.peckhamlevels.org/events,-0.06819234991219095,51.47074174162057,534270.9636170461,176410.92499714927,12/29/2019,music,"F1-F6 Peckham Town Centre Carpark, 95A Rye Ln, London SE15 4ST, United Kingdom",Peckham Levels,ChIJ14syqaEDdkgRkysnuc-J8rI,4.3,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",689.0
Fold,Gillian House,Stephenson Street,,,,,,,www.shapescollective.com,0.004211282175673968,51.519337764510794,539151.3130732047,181949.91494428954,12/29/2019,music,"gillian house, Stephenson St, London E16 4SA, United Kingdom",FOLD,ChIJVVWVwv6n2EcRnotyALvJJ-U,4.6,"['point_of_interest', 'establishment']",235.0
Kansas Smitty's,63-65 Broadway Market,,,,,,,,www.kansassmittys.com,-0.06139439953924659,51.53732641386193,534546.8794309753,183827.69777360608,12/29/2019,music,"63-65 Broadway Market, London E8 4PH, United Kingdom",Kansas Smitty's,ChIJvS4tzekcdkgRLCb3CPuLnrI,4.6,"['bar', 'point_of_interest', 'establishment']",199.0
Big Easy,Crossrail Place,,,,,,,,www.bigeasy.co.uk,-0.017785209831998692,51.5043819746329,537670.3732484231,180245.28993495132,12/29/2019,music,"Canary Wharf, Park Level, Crossrail Pl, London E14 5AR, United Kingdom",Big Easy Canary Wharf,ChIJj5YwFrcCdkgRZ7QcD-FJ2Zo,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2939.0
Sister Midnight Records,4 Tanner's Hill,,,,,,,,www.sistermidnightrecords.co.uk,-0.025994096801358776,51.474686909518404,537189.8000313122,176927.82970821587,12/29/2019,music,"4 Tanner's Hill, New Cross, London SE8 4PJ, United Kingdom",Sister Midnight Records,ChIJl4DLDvUCdkgRB2HaYrVVhzI,4.8,"['electronics_store', 'home_goods_store', 'bar', 'point_of_interest', 'store', 'establishment']",27.0
Tooting Tram & Social,46-48 Mitcham Rd,,,,,,,,www.tootingtramandsocial.co.uk,-0.16695897923679576,51.42678940479523,527533.8778263828,171347.05750186573,12/29/2019,music,"46-48 Mitcham Rd, Tooting, London SW17 9NA, United Kingdom",Tooting Tram & Social,ChIJVwlxcwsGdkgREcMSv5r4uk8,4.0,"['night_club', 'bar', 'point_of_interest', 'establishment']",468.0
The Unicorn,227a Camden Road,,,,Camden,,,,www.theunicorncamden.com,-0.129557504808049,51.54890978080631,529786.9459722242,184992.62566812968,12/29/2019,music,"227a Camden Rd, London NW1 9AA, United Kingdom",The Unicorn,ChIJzZc4fgUbdkgRyAMZLEf-m8k,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",485.0
St John's Music Hall,High Rd,Leytonstone,,,,,,,www.musichalls.org/posts/st-johns-music-hall,0.01091628305943395,51.568772838225144,539465.3679926491,187459.92076741796,12/29/2019,music,"Leytonstone, London E11 1HQ, United Kingdom",St John's Music Hall,ChIJe_JhxSSn2EcRN3HpklCTKPA,4.5,"['point_of_interest', 'establishment']",4.0
EartH,11-17 Stoke Newington Rd,,,,,,,,https://earthackney.co.uk/,-0.07519355033418951,51.550845923033336,533550.39205956,185305.80706112183,12/29/2019,music,"11-17 Stoke Newington Rd, Dalston, London N16 8BH, United Kingdom",EartH (Evolutionary Arts Hackney),ChIJTbFe-7wddkgRGyqM_yBcwfA,4.3,"['point_of_interest', 'establishment']",488.0
Jamboree,27 Three Colt St,,,,,,,,www.jamboreevenue.co.uk,-0.02968735553787607,51.51170143295649,536822.4619738911,181036.89368517048,12/29/2019,music,"27 Three Colt St, Limehouse, London E14 8HH, United Kingdom",Jamboree,ChIJ801dQtQCdkgRMqj69WO9wD8,4.7,"['point_of_interest', 'establishment']",224.0
Oslo Hackney,1A Amhurst Rd,,,,,,,,www.oslohackney.com,-0.057514854034456935,51.548018286743506,534784.360962462,185023.80140403198,12/29/2019,music,"1A Amhurst Rd, Kingsland, London E8 1LL, United Kingdom",Oslo Hackney,ChIJpS5_JfscdkgR1rMgegTCspM,4.1,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1540.0
Pickle Factory,13-14 The Oval,,,,,,,,www.ovalspace.co.uk,-0.05929302222814824,51.53260751033441,534706.5269805504,183306.80740715173,12/29/2019,music,"13-14 The Oval, London E2 9DU, United Kingdom",The Pickle Factory,ChIJdVN2LMMcdkgRRTGqeLI9mFo,3.7,"['point_of_interest', 'establishment']",247.0
Paper Dress Vintage,352 Mare Street,,,,,,,,www.paperdressvintage.co.uk,-0.05476801248769767,51.54738629954975,534976.6712835147,184958.58790049847,12/29/2019,music,"352a Mare St, Kingsland, London E8 1HR, United Kingdom",Paper Dress Vintage,ChIJGfZUnLocdkgRGn_TKi4O0WM,4.5,"['cafe', 'home_goods_store', 'bar', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",276.0
Slim Jim's Liquor Store,112 Upper St,,,,Islington,,,,www.slimjimsliquorstore.com,-0.10286487729993156,51.53799028164371,531669.0735775583,183826.0322376142,12/29/2019,music,"112 Upper St, The Angel, London N1 1QN, United Kingdom",Slim Jim's Liquor Store,ChIJLY-mB2cbdkgRmG8ZTBpvlF8,4.1,"['bar', 'point_of_interest', 'establishment']",566.0
The Sound Lounge,216-220 High Street,,,,,,,,www.thesoundlounge.org.uk,-0.19421874484373192,51.36654935595027,525803.8627152424,164601.26359956502,12/29/2019,music,"216-220 High St, Sutton SM1 1NU, United Kingdom",The Sound Lounge,ChIJuwrRSOMJdkgRYWN_fDNgSUg,0.0,"['point_of_interest', 'establishment']",0.0
Under the Bridge,Fulham Road,,,,,,,,www.underthebridge.co.uk,-0.1899841105871756,51.482013407952564,525781.5533077489,177448.23708703718,12/29/2019,music,"Fulham Rd, Fulham, London SW6 1HS, United Kingdom",Under the Bridge,ChIJZ7c3vIcPdkgRrsd9h8t528g,4.7,"['point_of_interest', 'establishment']",525.0
